ax,ay,az,gx,gy,gz
-0.229, 0.497, 2.310, -22.949, -43.030, 33.691
-0.248, 0.639, 2.526, -18.311, -35.645, 31.189
-0.267, 0.726, 2.727, -12.817, -27.588, 27.283
-0.273, 0.693, 2.955, -11.047, -19.165, 21.423
-0.271, 0.663, 3.249, -13.367, -9.460, 16.296
-0.281, 0.629, 3.512, -5.493, 2.563, 13.794
-0.278, 0.523, 3.750, -13.794, 18.738, 9.766
-0.297, 0.564, 3.951, -14.832, 38.269, 9.766
-0.347, 0.676, 3.999, -7.446, 61.707, 9.460
-0.391, 0.736, 3.897, -2.319, 87.646, 6.470
-0.438, 0.694, 3.747, 0.000, 112.671, 1.465
-0.510, 0.711, 3.585, 5.371, 136.292, -2.136
-0.584, 0.625, 3.431, 10.742, 159.729, -6.409
-0.676, 0.625, 3.253, 11.658, 183.533, -9.766
-0.782, 0.851, 3.018, 7.874, 207.947, -10.193
-0.955, 0.876, 2.716, -3.052, 231.628, -18.433
-1.060, 0.713, 2.438, -20.691, 253.296, -31.738
-1.212, 0.437, 2.163, -15.625, 272.888, -43.091
-1.358, 0.060, 1.903, -5.249, 291.382, -50.598
-1.442, -0.196, 1.589, 5.310, 309.692, -51.819
-1.571, -0.432, 1.260, 24.048, 326.599, -46.875
-1.669, -0.523, 0.838, 36.255, 342.224, -37.964
-1.795, -0.516, 0.354, 50.171, 354.919, -26.184
-1.856, -0.435, -0.219, 59.265, 363.037, -12.878
-1.959, -0.096, -0.822, 57.495, 365.601, 1.892
-1.920, 0.319, -1.376, 34.058, 362.000, 9.216
-1.813, 0.429, -2.261, 3.479, 354.248, 7.324
-1.622, 0.439, -3.188, -34.851, 335.510, -3.418
-1.429, 0.238, -4.000, -62.744, 302.856, -16.113
-1.203, 0.000, -4.000, -69.885, 256.042, -27.649
-0.946, -0.066, -4.000, -57.983, 193.787, -31.372
-0.786, -0.082, -4.000, -34.607, 112.915, -33.203
-0.764, -0.180, -4.000, -16.907, 20.264, -34.729
-0.905, -0.224, -4.000, -10.132, -72.205, -33.936
-1.159, -0.174, -4.000, -24.536, -160.217, -30.334
-1.528, -0.047, -4.000, -41.199, -238.892, -25.879
-1.791, 0.469, -3.935, -72.144, -303.040, -20.081
-2.085, 0.775, -3.220, -92.834, -352.905, -22.156
-2.398, 0.726, -2.685, -114.807, -390.503, -29.907
-2.628, 0.749, -2.276, -137.512, -422.668, -36.499
-2.859, 0.484, -1.647, -117.615, -455.078, -40.222
-3.038, 0.088, -0.728, -111.633, -482.666, -43.640
-3.112, -0.594, 0.221, -91.248, -501.099, -42.847
-3.162, -1.072, 0.999, -77.637, -507.202, -26.978
-3.259, -1.059, 1.786, -64.270, -506.836, 2.014
-3.345, -0.562, 2.629, -56.030, -502.502, 34.607
-3.337, 0.170, 3.726, -54.077, -493.896, 59.021
-3.224, 0.814, 4.000, -44.006, -480.103, 69.763
-2.980, 1.130, 4.000, -23.804, -453.003, 64.697
-2.566, 1.134, 4.000, -2.014, -402.954, 52.551
-2.116, 1.301, 4.000, 10.254, -330.566, 44.617
-1.757, 1.642, 4.000, 13.733, -241.089, 37.720
-1.525, 1.932, 4.000, 17.883, -144.409, 25.024
-1.405, 2.024, 4.000, 31.250, -43.091, 5.615
-1.424, 1.876, 4.000, 43.640, 54.321, -16.296
-1.546, 1.523, 4.000, 47.974, 141.296, -36.743
-1.731, 1.073, 4.000, 46.814, 214.233, -51.331
-1.926, 0.746, 4.000, 46.448, 272.644, -57.129
-2.110, 0.510, 4.000, 46.509, 319.092, -56.702
-2.238, 0.341, 3.688, 48.462, 352.783, -52.734
-2.343, 0.379, 3.033, 54.626, 376.465, -45.288
-2.439, 0.418, 2.619, 65.063, 394.165, -37.781
-2.548, 0.660, 2.325, 71.411, 410.889, -30.457
-2.707, 0.830, 2.197, 74.707, 427.795, -27.771
-2.997, 0.908, 2.069, 62.134, 448.181, -30.518
-3.218, 0.859, 1.529, 44.678, 473.877, -37.292
-3.424, 0.728, 0.889, 27.771, 495.789, -46.692
-3.539, 0.510, 0.266, 13.672, 509.827, -56.763
-3.720, 0.175, -0.220, 17.944, 516.357, -65.125
-3.667, -0.070, -1.022, 30.457, 519.165, -65.918
-3.490, -0.281, -1.857, 24.780, 513.733, -63.232
-3.234, -0.421, -2.410, 30.457, 494.263, -59.692
-2.980, -0.565, -2.892, 41.504, 466.736, -53.833
-2.590, -0.634, -3.355, 50.781, 432.983, -44.067
-2.137, -0.586, -3.704, 54.077, 393.616, -33.325
-1.732, -0.618, -4.000, 42.297, 350.708, -24.719
-1.422, -0.431, -4.000, 16.602, 301.758, -17.700
-0.993, -0.335, -4.000, 4.822, 250.061, -13.855
-0.651, -0.118, -4.000, -7.446, 193.359, -10.742
-0.337, -0.059, -4.000, -11.047, 126.221, -12.268
-0.357, 0.161, -4.000, -23.926, 49.927, -14.893
-0.292, 0.130, -4.000, -27.893, -31.799, -21.118
-0.529, 0.164, -4.000, -42.297, -126.831, -24.658
-1.061, 0.443, -4.000, -68.298, -227.112, -24.414
-1.746, 0.638, -4.000, -102.295, -320.923, -27.405
-2.607, 0.745, -4.000, -127.991, -410.034, -31.921
-3.778, 0.805, -4.000, -145.752, -500.854, -34.790
-4.000, 0.853, -4.000, -154.419, -589.355, -33.630
-4.000, 1.391, -3.755, -154.236, -669.861, -26.489
-4.000, 1.743, -1.956, -141.357, -737.549, -27.405
-4.000, 2.035, 0.005, -139.160, -787.415, -40.527
-4.000, 1.638, 2.657, -123.596, -816.895, -59.509
-4.000, 0.631, 4.000, -50.354, -814.819, -80.688
-4.000, -0.596, 4.000, -23.132, -768.982, -92.957
-3.996, -1.231, 4.000, 55.725, -670.349, -74.341
-2.674, -1.140, 4.000, 41.260, -522.888, -44.373
-1.725, -0.045, 4.000, -81.116, -352.661, -9.155
-1.212, 1.522, 4.000, -159.790, -199.280, 11.902
-1.017, 2.153, 4.000, -191.406, -88.806, -5.188
-0.897, 1.793, 3.942, -180.481, -26.978, -43.701
-0.793, 0.732, 2.623, -153.503, -3.906, -80.200
-0.693, -0.416, 1.991, -123.962, -3.784, -94.910
-0.591, -1.121, 1.817, -91.187, -11.536, -83.679
-0.512, -1.312, 1.816, -58.044, -17.944, -56.458
-0.450, -1.171, 1.735, -25.879, -20.081, -25.330
-0.407, -0.792, 1.511, 2.991, -19.043, 1.587
-0.351, -0.342, 1.278, 28.137, -19.531, 21.423
-0.325, 0.022, 1.121, 41.748, -21.912, 31.738
-0.280, 0.356, 1.125, 46.326, -25.879, 35.889
-0.258, 0.694, 1.309, 45.349, -29.236, 34.973
-0.222, 0.985, 1.467, 36.194, -28.198, 29.419
-0.219, 1.141, 1.534, 22.705, -22.644, 17.883
-0.210, 1.119, 1.434, 9.094, -14.587, 3.113
-0.208, 0.924, 1.232, -1.770, -7.385, -11.475
-0.230, 0.657, 1.089, -8.179, -4.089, -23.376
-0.228, 0.383, 0.977, -10.986, -2.686, -30.334
-0.240, 0.137, 0.885, -12.024, -2.380, -32.776
-0.242, -0.052, 0.877, -9.399, -3.967, -31.250
-0.246, -0.204, 0.948, -1.770, -6.165, -26.550

-0.656, 0.063, 2.418, -44.800, -50.903, 34.241
-0.734, 0.345, 2.936, -49.011, -50.781, 42.419
-0.825, 0.738, 3.628, -49.561, -46.631, 47.852
-0.905, 1.161, 4.000, -38.940, -36.011, 48.035
-1.000, 1.464, 4.000, -19.714, -14.465, 39.917
-1.111, 1.528, 4.000, 1.587, 22.888, 24.109
-1.298, 1.327, 4.000, 20.813, 76.538, 4.700
-1.523, 1.034, 4.000, 31.067, 142.883, -11.658
-1.829, 0.720, 4.000, 34.912, 214.355, -23.804
-2.151, 0.531, 4.000, 29.846, 280.029, -31.067
-2.440, 0.395, 3.973, 18.982, 334.412, -36.926
-2.619, 0.166, 2.894, 5.554, 375.244, -44.312
-2.734, -0.043, 1.915, -1.587, 401.062, -50.171
-2.760, -0.233, 1.222, 0.732, 414.124, -52.979
-2.785, -0.554, 0.832, 11.963, 418.335, -54.260
-2.788, -0.872, 0.412, 32.349, 420.044, -49.622
-2.734, -1.058, -0.099, 59.082, 419.128, -36.926
-2.539, -1.101, -0.661, 85.876, 414.185, -17.578
-2.393, -0.998, -1.235, 109.009, 403.381, 3.967
-2.214, -0.559, -1.513, 123.108, 384.460, 28.015
-1.979, 0.195, -1.522, 121.277, 362.732, 47.974
-1.810, 0.753, -1.270, 102.051, 343.262, 51.819
-1.717, 0.967, -0.974, 85.327, 330.872, 40.466
-1.725, 1.055, -0.984, 78.796, 326.904, 26.794
-1.680, 1.081, -1.597, 80.750, 328.247, 13.550
-1.585, 0.839, -2.666, 91.492, 324.341, -1.465
-1.388, 0.628, -3.882, 114.197, 304.749, -11.475
-1.075, 0.380, -4.000, 138.123, 267.456, -15.930
-0.802, 0.240, -4.000, 151.123, 209.778, -17.822
-0.574, -0.086, -4.000, 124.146, 130.920, -20.081
-0.503, -0.509, -4.000, 84.900, 36.255, -21.118
-0.727, -0.837, -4.000, 44.678, -67.566, -16.663
-1.146, -1.165, -4.000, 16.479, -171.509, -6.531
-1.745, -1.356, -4.000, -2.319, -268.494, 8.606
-2.434, -1.143, -4.000, -20.264, -357.910, 32.410
-3.151, -0.563, -4.000, -32.776, -438.965, 56.824
-3.785, -0.221, -3.798, -32.837, -507.629, 69.214
-4.000, -0.059, -2.034, -24.780, -562.622, 74.890
-4.000, -0.278, 0.080, -16.357, -601.013, 77.698
-4.000, -0.804, 2.440, -18.311, -616.028, 84.290
-4.000, -0.615, 4.000, -30.457, -601.440, 112.610
-3.791, 0.719, 4.000, -46.448, -554.932, 153.564
-3.391, 2.591, 4.000, -57.983, -489.319, 177.002
-2.948, 4.000, 4.000, -69.519, -422.363, 165.344
-2.700, 4.000, 4.000, -56.946, -370.117, 109.680
-2.329, 3.814, 4.000, -24.170, -321.167, 39.368
-2.019, 2.278, 4.000, -5.432, -253.235, -17.151
-1.719, 1.032, 4.000, 2.502, -162.354, -43.640
-1.577, 0.272, 4.000, 17.151, -54.504, -46.326
-1.617, -0.103, 4.000, 42.603, 59.998, -33.386
-1.744, -0.033, 4.000, 70.801, 167.175, -16.602
-1.968, 0.245, 4.000, 84.290, 256.775, -3.357
-2.075, 0.577, 4.000, 90.454, 323.059, 2.808
-2.231, 0.705, 3.994, 90.576, 367.676, 0.122
-2.404, 0.742, 3.095, 82.031, 396.606, -7.080
-2.448, 0.883, 2.299, 64.148, 417.114, -13.733
-2.454, 1.158, 1.630, 39.917, 431.274, -23.254
-2.474, 1.066, 1.006, 25.574, 439.819, -43.579
-2.435, 0.733, 0.458, 32.288, 441.650, -64.819
-2.404, 0.265, 0.074, 54.138, 437.378, -79.163
-2.358, -0.171, -0.173, 80.505, 430.359, -82.764
-2.363, -0.382, -0.437, 101.440, 423.828, -75.378
-2.349, -0.464, -0.870, 110.352, 417.480, -63.110
-2.153, -0.464, -1.453, 109.131, 409.729, -51.086
-1.881, -0.354, -1.946, 102.417, 395.142, -39.551
-1.622, -0.253, -2.227, 107.483, 372.437, -30.762
-1.360, -0.169, -2.364, 125.122, 345.276, -24.475
-1.160, -0.093, -2.333, 152.710, 315.247, -18.616
-1.032, -0.152, -2.197, 173.706, 286.682, -14.832
-0.952, -0.210, -2.119, 171.509, 261.780, -11.292
-1.120, -0.346, -1.859, 138.306, 239.258, -7.263
-0.846, -0.311, -2.016, 95.093, 222.534, -4.822
-0.871, -0.789, -2.519, 148.438, 205.505, -5.981
-0.809, -0.670, -3.353, 228.516, 180.542, 9.460
-0.588, -0.387, -3.751, 187.317, 141.418, 19.287
-0.448, -0.468, -4.000, 165.771, 94.238, 20.081
-0.418, -0.479, -4.000, 153.381, 38.940, 18.860
-0.418, -0.785, -4.000, 119.873, -22.644, 15.442
-0.623, -1.033, -4.000, 125.183, -85.999, 16.724
-0.900, -1.259, -4.000, 145.142, -150.330, 22.705
-1.248, -1.233, -4.000, 147.888, -214.050, 32.776
-1.693, -0.964, -4.000, 120.239, -277.100, 44.495
-2.228, -0.684, -4.000, 92.651, -341.736, 50.476
-2.872, -0.621, -4.000, 59.387, -409.058, 52.002
-3.603, -0.719, -4.000, 11.658, -476.807, 54.932
-4.000, -0.451, -4.000, -61.829, -547.913, 71.228
-4.000, 0.333, -3.275, -145.569, -624.329, 100.220
-4.000, 1.397, -1.409, -174.683, -695.496, 125.732
-4.000, 2.191, 1.134, -111.694, -751.221, 131.714
-4.000, 2.665, 3.702, -30.884, -776.733, 108.887
-4.000, 2.659, 4.000, -44.983, -758.118, 72.510
-4.000, 2.013, 4.000, -45.105, -705.688, 32.776
-3.993, 0.989, 4.000, -52.551, -632.324, 11.658
-2.963, 0.688, 4.000, -94.116, -532.471, 15.625
-1.991, 1.215, 4.000, -132.996, -406.372, 35.645
-1.345, 2.198, 4.000, -137.085, -261.230, 44.312
-0.964, 2.526, 4.000, -95.947, -118.530, 23.926
-0.728, 1.829, 4.000, -72.449, -11.292, -17.151
-0.608, 0.786, 3.109, -62.561, 43.030, -49.683
-0.589, -0.221, 1.691, -51.086, 54.871, -62.073
-0.561, -0.941, 1.058, -33.325, 43.579, -55.298
-0.502, -1.255, 0.745, -7.751, 25.330, -34.241
-0.457, -1.089, 0.585, 17.212, 6.714, -6.653
-0.412, -0.575, 0.578, 32.715, -10.559, 18.372
-0.384, -0.009, 0.693, 38.940, -26.123, 32.959
-0.344, 0.488, 0.856, 39.856, -37.598, 35.583
-0.298, 0.739, 1.138, 39.124, -44.922, 27.954
-0.256, 0.681, 1.503, 33.325, -46.997, 13.611
-0.236, 0.469, 1.879, 21.301, -41.687, 0.000
-0.254, 0.172, 2.049, 7.690, -29.175, -9.094
-0.264, -0.114, 1.906, -5.615, -11.902, -13.123
-0.300, -0.169, 1.534, -17.151, 3.174, -10.376
-0.313, -0.098, 1.084, -26.306, 12.512, -5.859
-0.325, 0.084, 0.775, -31.677, 14.282, -2.808
-0.333, 0.146, 0.666, -30.090, 9.521, -4.089
-0.332, 0.064, 0.658, -22.705, 2.869, -7.935
-0.326, -0.128, 0.699, -13.367, -3.418, -10.803
-0.316, -0.331, 0.882, -4.517, -9.277, -10.559
